canonical,found,best_symbol,candidates
ADAUSD,True,ADAUSD,ADAUSD
BRENT,True,UKOUSD,UKOUSD
BTCUSD,True,BTCUSD,BTCUSD
DOGEUSD,True,DOGUSD,DOGUSD
ETHUSD,True,ETHUSD,ETHUSD
EURUSD,True,EURUSD,EURUSD
GBPUSD,True,GBPUSD,GBPUSD
GER30,True,GER30,GER30
JP225,True,JP225,JP225
LTCUSD,True,LTCUSD,LTCUSD
NDX100,True,NDX100,NDX100
SPX500,True,SPX500,SPX500
US30,True,US30,US30
USDCAD,True,USDCAD,USDCAD
USDJPY,True,USDJPY,USDJPY
USOIL,True,USOUSD,USOUSD
VIX,True,VIX,VIX
XAGUSD,True,XAGUSD,XAGUSD
XAUUSD,True,XAUUSD,XAUUSD
XMRUSD,True,XMRUSD,XMRUSD
XRPUSD,True,XRPUSD,XRPUSD
DXY,False,,
UST10Y,False,,
